的,dik7
卷,gyn2
卷,kyn4
罚,fat9
敲,haau1
稀,hei1
振,dzan3
贯,gun3
疲,pei4
筋,gan1
尝,soeng4
瓦,nga5
慌,fong1
漂,piu1
漂,piu3
裁,tsoi4
赖,laai6
欠,him3
漫,maan6
赚,dzaan6
肃,suk7
柴,tsaai4
赤,tsik8
赤,tsek8
焦,dziu1
荒,fong1
丢,diu1
杆,gon1
杆,gon2
盼,paan3
臂,bei3
臣,san4
涉,sip8
聪,tsung1
阅,jyt9
叹,taan3
胎,toi1
汇,wui6
租,dzou1
胀,dzoeng3
膜,mok9
膜,mou4
仙,sin1
吉,gat7
刊,hon1
刊,hon2
冠,gun1
冠,gun3
慧,wai6
慧,wai3
缝,fung4
缝,fung6
缝,fung2
志,dzi3
遵,dzoen1
遵,dzyn1
丧,song1
丧,song3
纤,tsim1
峰,fung1
柔,jau4
澳,ou3
澳,juk7
辈,bui3
驻,dzy3
哀,oi1
弓,gung1
炮,baau3
炮,paau3
炮,paau4
茫,mong4
幻,waan6
箭,dzin3
膨,paang4
薪,san1
蜜,mat9
椅,ji2
椅,ji1
稿,gou2
杨,joeng4
籍,dzik9
仁,jan4
丛,tsung4
墻,tsoeng4
松,tsung4
症,dzing3
症,dzing1
碍,ngoi6
宾,ban1
撤,tsit8
醉,dzoey3
乌,wu1
坦,taan2
揭,kit8
敏,man5
泳,wing6
齿,tsi2
辨,bin6
伊,ji1
恩,jan1
宙,dzau6
拾,sap9
篮,laam4
雷,loey4
淀,din6
纱,sa1
融,jung4
岂,hei2
岂,hoi2
伪,ngai6
抛,paau1
肌,gei1
刑,jing4
涌,jung2
涌,tsung1
涌,jung5
傅,fu6
傅,fu2
匀,wan4
奉,fung6
肺,fai3
悬,jyn4
耀,jiu6
韩,hon4
川,tsyn1
瘦,sau3
盟,mang4
唤,wun6
纹,man4
尘,tsan4
舍,se2
厌,jim3
厌,jim1
宅,dzaak9
矩,goey2
隐,jan2
隐,jan3
鼠,sy2
倘,tong2
倘,soeng4
冻,dung3
歇,hit8
燕,jin3
燕,jin1
骤,dzau6
骤,dzaau6
婶,sam2
缴,giu2
缴,dzoek8
铃,ling4
溜,lau6
溜,lau4
皿,ming5
笼,lung4
笼,lung5
譬,pei3
飘,piu1
潜,tsim4
疏,so1
疏,so3
祸,wo6
胃,wai6
雾,mou6
了,liu5
了,liu4
脂,dzi1
豪,hou4
贝,bui3
卵,loen2
奴,nou4
恋,lyn2
恋,lyn5
钉,ding1
钉,deng1
饱,baau2
卓,tsoek8
卓,dzoek8
扰,jiu5
扰,jiu2
返,faan2
返,faan1
錶,biu1
库,fu3
泰,taai3
猎,lip9
紫,dzi2
耗,hou3
肠,tsoeng4
肠,tsoeng2
铺,pou3
铺,pou1
锋,fung1
硷,gaan2
叠,dip9
叠,daap9
蚀,sik9
蚀,sit9
塔,taap8
牵,hin1
莲,lin4
刷,tsaat8
刷,saat8
廷,ting4
惨,tsaam2
锅,wo1
敦,doen1
敦,doey3
添,tim1
蛇,se4
蛇,ji4
踪,dzung1
崇,sung4
循,tsoen4
梯,tai1
瓷,tsi4
傲,ngou6
捧,pung2
兽,sau3
漏,lau6
癌,ngaam4
匹,pat7
冲,tsung1
芬,fan1
魂,wan4
舌,sit8
舌,sit9
洪,hung4
眠,min4
递,dai6
递,daai3
递,sai6
历,lik9
牺,hei1
玳,doi6
瑁,mui6
瑁,mou6
邮,jau4
骗,pin3
丹,daan1
剑,gim3
屈,wat7
托,tok8
衫,saam1
迈,maai6
锐,joey6
柜,gwai6
畜,tsuk7
鸣,ming4
丁,ding1
丁,dzaang1
丁,dzang1
妖,jiu1
妖,jiu2
泼,put8
奥,ou3
宪,hin3
牢,lou4
誉,jy6
徐,tsoey4
掩,jim2
涨,dzoeng3
扎,dzaat8
吃,hek8
妨,fong4
嫌,jim4
溪,kai1
胁,hip8
挖,waat8
挖,wa1
巾,gan1
挣,dzang1
挣,dzaang6
皱,dzau3
披,pei1
拼,ping1
拼,ping3
爽,song2
筒,tung4
筒,tung2
抖,dau2
扯,tse2
拨,but9
鸦,a1
傻,so4
注,dzy3
锦,gam2
塘,tong4
岭,ling5
岭,leng5
筹,tsau4
赔,pui4
弧,wu4
面,min6
寸,tsyn3
愁,sau4
株,dzy1
浸,dzam3
腔,hong1
览,laam5
郊,gaau1
锁,so2
储,tsy5
吵,tsaau2
晋,dzoen3
偿,soeng4
恼,nou5
扶,fu4
滋,dzi1
痕,han4
纽,nau2
纽,nau5
悠,jau4
睁,dzang1
睁,dzaang1
嫁,ga3
斗,dau2
斗,dau3
系,hai6
募,mou6
吴,ng4
扮,baan3
扮,baan6
沉,tsam4
漆,tsat7
译,jik9
亏,kwai1
趁,tsan3
铺,pou1
铺,pou3
喉,hau4
庙,miu6
巩,gung2
吞,tan1
熊,hung4
逢,fung4
哼,hang1
摘,dzaak9
矮,ai2
砂,sa1
综,dzung3
综,dzung1
肢,dzi1
舅,kau5
艘,sau2
酬,tsau4
奈,noi6
炎,jim4
舍,se3
舍,se2
锥,dzoey1
倡,tsoeng3
倡,tsoeng1
仓,tsong1
侨,kiu4
慈,tsi4
戚,tsik7
晒,saai3
脾,pei4
隆,lung4
允,wan5
掷,dzaak9
赞,dzaan3
阁,gok8
黎,lai4
廉,lim4
恒,hang4
橡,dzoeng6
裤,fu3
叛,bun6
幽,jau1
纠,gau2
翅,tsi3
址,dzi2
挽,waan5
贤,jin4
轰,gwang1
鹅,ngo4
伐,fat9
嚷,joeng6
嚷,joeng5
扣,kau3
欺,hei1
洛,lok8
洛,lok9
硫,lau4
络,lok8
络,lok9
遮,dze1
脊,dzek8
脊,dzik8
庞,pong4
呵,ho1
呵,o1
翼,jik9
蓄,tsuk7
衰,soey1
衰,tsoey1
贼,tsaak9
婴,jing1
拆,tsaak8
沸,fai3
辅,fu6
挨,aai1
挨,ngaai4
翁,jung1
萄,tou4
葡,pou4
袭,dzaap9
辑,tsap7
蒋,dzoeng2
樸,pok8
荡,dong6
驼,to4
狠,han2
盒,hap9
遂,soey6
雀,dzoek8
倦,gyn6
匠,dzoeng6
峡,haap9
滩,taan1
询,soen1
栽,dzoi1
糟,dzou1
脆,tsoey3
轨,gwai2
厦,ha6
摔,soet7
摔,soey1
咐,fu3
咐,fu6
寿,sau6
撒,saat8
卧,ngo6
辽,liu4
坑,haang1
尸,si1
桶,tung2
蓬,pung4
蓬,fung4
雕,diu1
勿,mat9
鸭,aap8
鸭,ngaap8
懒,laan5
煮,dzy2
狭,haap9
狭,gip9
猿,jyn4
盗,dou6
键,gin6
驱,koey1
晴,tsing4
暑,sy2
疼,tang4
疼,tung3
芦,lou4
后,hau6
烛,dzuk7
苗,miu4
谊,ji4
谊,ji6
郎,long4
钓,diu3
刘,lau4
慎,san6
升,sing1
赴,fu6
隶,dai6
魏,ngai6
魏,ngai4
堪,ham1
斑,baan1
浑,wan4
浑,wan6
浑,gwan2
燥,tsou3
蔬,so1
儒,jy4
抹,mut9
抹,maat8
致,dzi3
遥,jiu4
慕,mou6
枯,fu1
杰,git9
昂,ngong4
昂,ngong5
兔,tou3
斥,tsik7
采,tsoi2
采,tsoi3
向,hoeng3
向,hoeng2
娃,wa1
嫩,nyn6
厨,tsoey4
厨,tsy4
拘,koey1
滥,laam6
滤,loey6
凶,hung1
卷,gyn2
桃,tou4
瞎,hat9
魔,mo1
俺,jim3
惧,goey6
讥,gei1
颤,dzin3
仇,sau4
仇,tsau4
仇,kau4
妥,to5
娱,jy4
弦,jin4
铝,loey5
攀,paan1
晃,fong2
秤,tsing3
秩,dit9
腊,laap9
芽,nga4
郑,dzeng6
陶,tou4
陶,jiu4
刮,gwaat8
嘻,hei1
罩,dzaau3
臭,tsau3
诊,tsan2
诊,dzan2
宴,jin3
挡,dong2
挡,dong3
肝,gon1
艇,teng5
艇,ting5
舰,laam6
亭,ting4
吨,doen1
吨,dzoen1
岗,gong1
悟,ng6
蜡,laap9
泉,tsyn4
浴,juk9
溉,koi3
钞,tsaau1
扎,dzaat8
扭,nau2
扭,nau5
携,kwai4
姻,jan1
氛,fan1
爵,dzoek8
赢,jing4
赢,jeng4
并,bing3
并,ping3
并,bing6
埃,oi1
埃,aai1
毅,ngai6
渴,hot8
浆,dzoeng1
狼,long4
猴,hau4
罐,gun3
贷,taai3
雅,nga5
雅,a1
债,dzaai3
咽,jin1
咽,jit8
咽,jin3
喘,tsyn2
昌,tsoeng1
炭,taan3
绑,bong2
葬,dzong3
董,dung2
酷,huk9
旨,dzi2
栏,laan4
津,dzoen1
骆,lok8
骆,lok9
恳,han2
亩,mau5
诞,daan3
遣,hin2
鲁,lou5
哇,wa1
碟,dip9
碟,dip8
纲,gong1
裹,gwo2
饼,beng2
饼,bing2
骄,giu1
念,nim6
拳,kyn4
摧,tsoey1
顽,waan4
占,dzim1
占,dzim3
悔,fui3
抚,fu2
搅,gaau2
淋,lam4
缠,tsin4
缠,dzin6
胖,bun6
胖,pun4
衬,tsan3
捷,dzit9
捷,dzit8
碧,bik7
羽,jy5
辟,pik7
傍,bong6
廊,long4
悦,jyt9
拟,ji5
柳,lau5
爹,de1
蕉,dziu1
蛙,wa1
夸,kwa1
辱,juk9
逗,dau6
乳,jy5
押,aap8
押,aat8
轿,giu6
轿,giu2
轿,kiu4
黏,nim4
黏,nim1
玲,ling4
盲,maang4
赌,dou2
跪,gwai6
唉,aai1
唉,oi1
夕,dzik9
腹,fuk7
蚕,tsaam4
裳,soeng4
赠,dzang6
丑,tsau2
凑,tsau3
颈,geng2
侯,hau4
勒,lak9
媳,sik7
掀,hin1
柏,baak8
柏,paak8
汪,wong1
趟,tong3
蹲,doen1
蹲,tsyn4
卑,bei1
吩,fan1
噢,o1
噢,jy2
噢,ou3
喂,wai3
孕,jan6
宵,siu1
旱,hon5
曼,maan6
挫,tso3
旺,wong6
榜,bong2
榜,pong3
榜,pang4
氯,luk9
逆,jik9
逆,ngaak9
皂,dzou6
膝,sat7
吏,lei6
碌,luk7
钩,ngau1
钩,gau1
勃,but9
堡,bou2
寞,mok9
稼,ga3
舱,tsong1
誓,sai6
劫,gip8
啥,sa1
惑,waak9
拢,lung5
灑,sa2
窄,dzaak8
隋,tsoey4
霸,ba3
俱,koey1
俱,goey1
划,wa4
划,waak9
圾,saap8
圾,kap7
枚,mui4
胚,pui1
跨,kwa1
跨,kwa3
霞,ha4
伞,saan3
畅,tsoeng3
歼,tsim1
苹,ping4
苹,pan4
驰,tsi4
孟,maang6
扔,jing4
扔,wing1
搁,gok8
笨,ban6
茹,jy4
茹,jy6
谅,loeng6
僧,dzang1
茎,ging3
茎,hang4
茎,ging1
回,wui4
鉴,gaam3
顷,king2
顷,king1
鳞,loen4
哟,jo1
蹈,dou6
丘,jau1
侦,dzing1
勾,ngau1
垒,loey5
垒,loet9
滨,ban1
聊,liu4
脖,but9
陌,mak9
隙,gwik7
隙,kwik7
哗,wa1
宦,waan6
拱,gung2
昆,gwan1
御,jy6
御,nga6
掏,tou4
梅,mui4
疆,goeng1
催,tsoey1
寺,dzi6
祥,tsoeng4
纬,wai5
肪,fong1
耻,tsi2
愚,jy4
惹,je5
摊,taan1
梁,loeng4
泌,bei3
泌,bat7
泌,bat9
羞,sau1
蚁,ngai5
托,tok8
谨,gan2
邱,jau1
饥,gei1
佩,pui3
巡,tsoen4
吊,diu3
棍,gwan3
棚,paang4
歪,waai1
畏,wai3
筝,dzang1
筝,dzaang1
缚,bok8
缚,bok9
诱,jau5
辐,fuk7
匙,tsi4
匙,si4
壶,wu4
寓,jy6
捏,nip9
撑,tsaang1
玛,ma5
吻,man5
拦,laan4
渠,koey4
焊,hon6
灿,tsaan3
箇,go3
萨,saat8
券,hyn3
券,gyn3
娶,tsoey2
娶,tsoey3
慨,koi3
拣,gaan2
槽,tsou4
氮,daam6
砍,ham2
谣,jiu4
闯,tsong2
闯,tsong3
闯,tsam3
廝,si1
朱,dzy1
瑞,soey6
盏,dzaan2
窃,sit8
腺,sin3
郡,gwan6
饲,dzi6
乞,hat7
咳,kat7
咳,haai1
帕,paak8
汁,dzap7
泽,dzaak9
芒,mong4
芒,mong1
荃,tsyn4
驳,bok8
丙,bing2
兑,doey3
兑,doey6
恭,gung1
拓,tok8
拓,taap8
沃,juk7
炕,kong3
炕,hong3
耍,sa2
蝶,dip9
桑,song1
瞪,dang1
瞪,dang6
瞪,tsing4
瞪,tsaang4
蝇,jing4
詹,dzim1
喂,wai3
冤,jyn1
殷,jan1
殷,jin1
殷,jan2
渗,sam3
簾,lim4
簾,lim2
糕,gou1
钠,naap9
钠,naat8
歉,hip8
歉,him3
碑,bei1
鞭,bin1
脏,dzong1
胡,wu4
鲸,king4
凳,dang3
咙,lung4
巢,tsaau4
巷,hong6
抄,tsaau1
焰,jim6
焰,jim4
盈,jing4
簧,wong4
贪,taam1
躯,koey1
辟,bik7
辟,pik7
唔,m4
惩,tsing4
铸,dzy3
幂,mik9
吼,hau3
吼,haau1
娜,no4
娜,no5
娜,na4
扁,bin2
扁,pin1
晰,sik7
趾,dzi2
锻,dyn3
屡,loey5
拚,pun3
拚,ping1
拚,fan1
捞,laau4
捞,lou1
捞,lou4
杜,dou6
柄,bing3
柄,beng3
棋,kei4
棋,kei2
殿,din6
凄,tsai1
竖,sy6
迹,dzik7
侍,si6
娇,giu1
搏,bok8
浊,dzuk9
笛,dek9
莱,loi4
贩,faan3
贩,faan2
媒,mui4
掘,gwat9
祭,dzai3
谦,him1
踢,tek8
陵,ling4
净,dzing6
净,dzeng6
嗓,song1
嗓,song2
堵,dou2
愧,kwai3
愧,kwai5
竭,kit8
贺,ho6
贺,ho3
逸,jat9
俯,fu2
凌,ling4
熄,sik7
赋,fu3
咧,le1
咧,le4
咧,lit9
哨,saau3
唇,soen4
妄,mong5
姨,ji4
姨,ji1
兹,dzi1
兹,tsi4
逊,soen3
啡,fe1
并,bing6
并,bing3
并,bing1
撕,si1
泊,bok9
泊,paak8
蔽,bai3
蚂,ma5
蚂,ma6
蚂,ma1
迪,dik9
逝,sai6
吨,doen1
吨,doen6
橘,gwat7
板,baan2
霜,soeng1
侮,mou5
呎,tsek8
掠,loek9
渺,miu5
芳,fong1
袁,jyn4
裸,lo2
醋,tsou3
刹,saat8
埔,bou3
尿,niu6
熔,jung4
辫,bin1
葵,kwai4
蚊,man1
蚊,man4
堤,tai4
惠,wai6
枕,dzam2
枕,dzam3
淘,tou4
溃,kui2
脣,soen4
颠,din1
麓,luk7
麓,luk9
姆,mou5
宰,dzoi2
寡,gwa2
煌,wong4
磅,bong6
磅,pong4
禅,sim4
禅,sin6
禹,jy5
钙,koi3
鳍,kei4
倚,ji2
叉,tsa1
尉,wai3
尉,wat7
晕,wan4
晕,wan6
玄,jyn4
砖,dzyn1
蝴,wu4
谱,pou2
乒,ping1
乒,bing1
宏,wang4
框,kwaang1
框,hong1
艳,jim6
蜢,maang5
裕,jy6
屁,pei3
曝,buk9
粪,fan3
莎,sa1
莎,so1
虫,tsung4
虫,wai2
虾,ha1
虾,ha4
呜,wu1
崩,bang1
澡,dzou2
澡,tsou3
烤,haau2
烤,haau1
簿,bou6
锡,sik8
锡,sek8
乓,pong1
乓,bam1
咸,haam4
喻,jy6
嘉,ga1
妮,nei4
谷,guk7
窑,jiu4
绵,min4
蝗,wong4
涛,tou4
疫,jik9
蜗,wo1
蜗,wa1
蜗,gwa1
袍,pou4
袍,pou2
裙,kwan4
凿,dzok9
仆,buk9
啼,tai4
捐,gyn1
箔,bok9
肿,dzung2
范,faan6
苇,wai5
蛮,maan4
诵,dzung6
闲,haan4
霉,mui4
仟,tsin1
凯,hoi2
凯,ngoi2
咖,ga3
嘱,dzuk7
垫,din3
垫,dzin3
帆,faan4
庚,gang1
沾,dzim1
盯,ding1
赐,tsi3
赵,dziu6
邪,tse4
邪,je4
丫,a1
尧,jiu4
塌,taap8
歧,kei4
粹,soey6
踩,tsaai2
坊,fong1
坊,fong4
垃,laap9
涯,ngaai4
淹,jim1
秧,joeng1
腕,wun2
谍,dip9
赫,haak7
链,lin4
链,lin2
链,lin6
阀,fat9
骰,tau4
骰,sik7
雇,gu3
咕,gu1
咕,gu2
屏,ping4
屏,bing2
屑,sit8
甸,din6
甸,din1
甸,tin4
矣,ji5
耸,sung2
贾,ga2
贾,gu2
俘,fu1
冶,je5
坟,fan4
曹,tsou4
澄,tsing4
澄,dang6
爪,dzaau2
耶,je4
舟,dzau1
贱,dzin6
逛,gwaang6
逛,kwaang3
酱,dzoeng3
嘲,dzaau1
梳,so1
梨,lei4
氨,on1
浩,hou6
藩,faan4
豁,kut8
豁,wa1
卅,sa1
憾,ham6
渊,jyn1
舜,soen3
艾,ngaai6
馏,lau6
驴,loey4
驴,lou4
郁,wat7
吋,tsyn3
旬,tsoen4
梢,saau1
于,jy1
于,jy4
哄,hung6
哄,hung3
哄,hung1
嘿,hei1
庸,jung4
槓,gong3
槓,lung5
渣,dza1
眨,dzaap8
眨,dzaam2
颂,dzung6
仑,loen4
捆,kwan2
浇,giu1
煎,dzin1
狮,si1
碘,din2
衙,nga4
乖,gwaai1
孝,haau3
怯,hip8
敞,tsong2
椎,dzoey1
椎,tsoey4
洩,jai6
洩,sit8
稚,dzi6
讽,fung3
雇,gu3
鹰,jing1
佢,koey5
佢,hoey5
咦,ji4
奢,tse1
拌,bun6
敷,fu1
榴,lau4
芝,dzi1
龟,gwai1
龟,gwan1
龟,gau1
僚,liu4
吾,ng4
夥,fo2
崖,ngaai4
欲,juk9
拐,gwaai2
郭,gwok8
嗜,si3
嗡,jung1
喽,lau4
喽,lau1
墓,mou6
屿,jy4
屿,dzoey6
厢,soeng1
擅,sin6
朦,mung4
琳,lam4
罕,hon2
膊,bok8
蔼,oi2
贮,tsy5
躁,tsou3
饥,gei1
吟,jam4
喃,naam4
帜,tsi3
弥,mei4
弥,nei4
煞,saat8
猩,sing1
瘾,jan5
瘾,jan2
筷,faai3
绸,tsau4
薯,sy4
螺,lo4
螺,lo2
贞,dzing1
逮,dai6
骚,sou1
剖,fau2
剖,pau2
冈,gong1
摺,dzip8
摺,dzaap8
桂,gwai3
焚,fan4
瓣,baan6
瓣,faan6
瓣,faan2
竿,gon1
绒,jung4
绒,jung2
耽,daam1
怖,bou3
炮,paau3
缀,dzoey3
奠,din6
寨,dzaai6
烁,soek8
瑰,gwai1
瑰,gwai3
祷,tou2
祷,dou2
酿,joeng6
颁,baan1
颁,fan4
兆,siu6
凸,dat9
函,haam4
咀,dzoey2
哑,a1
哑,a2
哑,ak7
屯,tyn4
屯,dzoen1
屯,soen4
忌,gei6
挟,hip9
挟,gaap8
胧,lung4
缅,min5
聋,lung4
鄙,pei2
云,wan4
卸,se3
埠,fau6
埠,bou6
坛,taan4
契,kai3
契,kit8
契,sit8
奸,gaan1
姚,jiu4
斩,dzaam2
晌,hoeng2
朽,jau2
朽,nau2
朽,nau5
眯,mai5
眯,mei1
胳,gaak8
胳,gok8
茂,mau6
襟,kam1
雌,tsi1
家,ga1
签,tsim1
绅,san1
莽,mong5
萝,lo4
袜,mat9
迳,ging3
迳,gaang3
鹿,luk9
吱,dzi1
寇,kau3
捣,dou2
斧,fu2
沦,loen4
溢,jat9
禽,kam4
蒂,dai3
蒂,ding3
蛛,dzy1
僵,goeng1
叭,ba1
呕,au1
呕,au2
熬,ngou4
硕,sek9
磷,loen4
磷,loen6
磷,ling4
吁,jy6
粥,dzuk7
粥,juk9
缸,gong1
茅,maau4
萧,siu1
藻,dzou2
辣,laat9
陡,dau2
履,lei5
懊,ou3
捡,gim2
晤,ng6
枉,wong2
澈,tsit8
窜,tsyn3
窜,tsyn2
筐,hong1
筐,kwaang1
粧,dzong1
酵,gaau3
酵,haau1
酵,haau3
韦,wai4
韦,wai5
兜,dau1
囊,nong4
幢,tsong4
幢,dzong6
幢,tong4
毙,bai6
枢,sy1
毯,taan2
毯,taam2
沫,mut9
沫,mut8
羡,sin6
羡,jin4
蔓,maan6
蔓,maan4
蝉,sim4
觅,mik9
辰,san4
迄,ngat9
迄,hat7
骼,gaak8
丐,koi3
啪,paak7
媚,mei6
媚,mei4
揉,jau4
暇,ha6
汰,taai3
潭,taam4
烫,tong3
盪,dong6
颖,wing6
肾,san6
肾,san5
陋,lau6
叮,ding1
坠,dzoey6
惶,wong4
曰,joek9
曰,jyt9
洽,hap9
洽,hap7
玫,mui4
绣,sau3
膏,gou1
膏,gou3
葫,wu4
锯,goey3
锯,goe3
阐,tsin2
阐,dzin2
阐,sin6
俊,dzoen3
凹,nap7
凹,lap7
凹,aau3
凹,wa1
嚼,dzoek8
嚼,dziu6
屠,tou4
滔,tou1
疤,ba1
瞒,mun4
砌,tsai3
翔,tsoeng4
肖,tsiu3
肖,siu1
莉,lei6
菩,pou4
邵,siu6
銹,sau3
凤,fung6
扳,paan1
拴,saan1
挠,naau4
挠,naau5
旷,kwong3
滞,dzai6
卜,baak9
袄,ou2
袄,ou3
卜,buk7
卜,baak9
嗅,tsau3
嗅,hung3
囱,tsung1
囱,tsoeng1
厕,tsi3
厕,tsak7
昧,mui6
梭,so1
檯,toi4
檯,toi2
灶,dzou3
聘,ping3
蟹,haai5
饶,jiu4
丸,jyn4
丸,jyn2
佣,jung2
佣,jung4
僻,pik7
叨,dou1
叨,tou1
喧,hyn1
帅,soey3
帅,soet7
祈,kei4
纶,gwaan1
纶,loen4
缔,dai3
缔,tai3
缔,dai6
芭,ba1
葱,tsung1
蚣,gung1
蜈,ng4
讶,nga6
谐,haai4
颱,toi4
余,jy4
嗽,sau3
嗽,sok8
夷,ji4
弛,tsi2
弛,tsi4
恕,sy3
札,dzaat8
甫,fu2
甫,pou2
甫,pou3
虹,hung4
袱,fuk9
褐,hot8
颊,gaap8
颊,haap8
髦,mou4
侈,tsi2
吆,jiu1
喇,la1
喇,la3
愕,ngok9
惭,tsaam4
扛,gong1
擎,king4
搀,tsaam1
昔,sik7
橙,tsaang2
橙,tsaang4
泄,sit8
泄,jai6
汹,hung1
熙,hei1
穴,jyt9
翘,kiu4
膳,sin6
蜘,dzi1
蠢,tsoen2
辖,hat9
韧,ngan6
韧,jan6
劈,pik7
劈,pek8
哏,gan1
墩,doen1
墩,dan1
墩,dan2
寮,liu4
昼,dzau3
炒,tsaau2
疮,tsong1
绷,bang1
绷,maang1
豫,jy6
酌,dzoek8
醇,soen4
锄,tso4
隧,soey6
韵,wan6
韵,wan5
巫,mou4
廓,kwok8
廓,gwok8
叹,taan3
浙,dzit8
涤,dik9
获,wok9
获,wu6
鑑,gaam3
阮,jyn5
阮,jyn2
须,sou1
咸,haam4
棕,dzung1
淑,suk9
甩,lat7
癢,joeng5
瞬,soen3
礁,dziu1
御,jy6
稠,tsau4
篡,saan3
簇,tsuk7
膛,tong4
讼,dzung6
躬,gung1
钝,doen6
佑,jau6
囚,tsau4
腻,nei6
腻,nau6
葛,got8
蚓,jan5
蚯,jau1
舆,jy4
辜,gu1
闺,gwai1
伺,dzi6
坝,ba3
徊,wui4
徘,pui4
档,dong2
档,dong3
烘,hung1
烘,hung3
痴,tsi1
肆,si3
肆,sei3
髓,soey5
仿,fong2
厥,kyt8
嗣,dzi6
噪,tsou3
罗,lo1
罗,lo4
罗,lo3
愣,ling6
拯,tsing2
榕,jung4
琐,so2
畔,bun6
菱,ling4
逞,tsing2
炼,lin6
鼎,ding2
俞,jy4
俭,gim6
卒,dzoet7
卒,tsyt8
嗨,hei1
嗨,hoi1
尬,gaai3
尴,gaam1
尴,gaam3
枫,fung1
灼,dzoek8
灼,tsoek8
苏,sou1
矫,giu2
萌,mang4
衷,tsung1
衷,dzung1
踱,dok9
俾,bei2
呐,naap9
呐,noet9
噜,lou1
垮,kwa1
屉,tai3
弊,bai6
恤,soet7
拇,mou5
栖,tsai1
歛,lim5
歛,lim6
沛,pui3
漾,joeng6
珊,saan1
眶,kwaang1
眶,hong1
硝,siu1
秃,tuk7
缕,loey5
缕,lau5
虐,joek9
谬,mau6
鸿,hung4
唾,to3
唾,toe3
墟,hoey1
壕,hou4
婉,jyn2
岔,tsa3
巍,ngai4
忱,sam4
扒,pa4
扒,baat8
扒,pa1
桨,dzoeng2
沼,dziu2
澜,laan4
蔑,mit9
荐,dzin3
虞,jy4
诀,kyt8
衔,haam4
衔,ham4
锺,dzung1
骡,lo4
骡,loey4
魄,paak8
魄,bok9
魄,tok8
丑,tsau2
剿,dziu2
剿,tsaau1
哧,tsi1
嗦,so1
嘶,sai1
嘶,si1
垄,lung5
拏,na4
炊,tsoey1
蟀,soet7
蟋,sik7
蹄,tai4
蹄,tai2
镑,bong6
镑,bong2
靴,hoe1
峻,dzoen3
崎,kei1
崎,kei4
撰,dzaan6
撰,dzaan3
钦,jam1
涡,wo1
涡,gwo1
溅,dzin3
溅,dzin1
炀,joeng4
藤,tang4
虏,lou5
豹,paau3
蹦,bang1
蹦,baang6
逻,lo4
逻,lo6
锤,soey4
锤,tsoey4
铲,tsaan2
闸,dzaap9
卉,wai2
徽,fai1
烹,paang1
苟,gau2
褂,gwa3
褂,kwa2
趴,pa1
轧,dzaat8
轧,gaat8
轧,aat8
陜,gip9
陜,haap9
倩,sin3
倩,sin6
匈,hung1
撼,ham6
淤,jy1
淤,jy2
淤,jy3
珑,lung4
笃,duk7
绢,gyn3
羡,sin6
羡,jin4
荫,jam3
蠕,jyn5
蠕,jy4
赃,dzong1
鳃,soi1
鸥,au1
墅,soey5
妞,nau2
妞,nau5
宠,tsung2
懈,haai6
懈,haai5
拂,fat7
撮,tsyt8
犬,hyn2
琅,long4
瞄,miu4
磕,hap9
砾,lik7
砾,lik9
稽,kai1
稽,kai2
窟,fat7
糙,tsou3
肇,siu6
舵,to4
荔,lai6
谎,fong1
谎,fong2
酥,sou1
镁,mei5
鹃,gyn1
咒,dzau3
抒,sy1
榨,dza3
汞,hung6
淫,jam4
甥,saang1
甥,sang1
瞳,tung4
砸,dzaap8
篷,pung4
絮,soey5
舶,bok9
舶,paak8
诬,mou4
钮,nau2
钮,nau5
雯,man4
馒,maan4
馒,maan6
姜,goeng1
崭,dzaam2
拭,sik7
栅,tsaak8
栅,saan1
潺,saan4
狐,wu4
盔,kwai1
矶,gei1
窒,dzat9
粘,nim4
粘,dzim1
粘,nim1
翰,hon6
蹬,dang1
蹬,dang6
侣,loey5
啤,be1
啸,siu3
垦,han2
奕,jik9
惰,do6
慷,hong1
慷,hong2
揪,dzau1
搓,tso1
挚,dzi3
拧,ning4
拧,ning6
拧,ning1
棺,gun1
炽,tsi3
犁,lai4
翌,jik9
蔡,tsoi3
诈,dza3
贬,bin2
辗,dzin2
辗,nin5
霎,saap8
黝,jau2
仕,si6
呻,san1
哆,do1
哆,tse2
哆,tsi2
唆,so1
啃,hang2
帖,tip8
彰,dzoeng1
揶,je4
暮,mou6
杖,dzoeng6
杭,hong4
梗,gang2
樟,dzoeng1
澎,paang4
澎,paang1
禀,ban2
菊,guk7
钳,kim4
镶,soeng1
颓,toey4
冥,ming4
吊,diu3
嘘,hoey1
屹,ngat9
嵌,ham6
嵌,ham3
歹,daai2
歹,aat8
狄,dik9
杯,bui1
瞻,dzim1
禄,luk9
穗,soey6
萤,jing4
跋,bat9
钾,gaap8
锌,san1
钥,joek9
锣,lo4
鞠,guk7
骸,haai4
骸,hoi4
鲤,lei5
兢,ging1
刨,paau4
吁,hoey1
吁,jy6
宛,jyn2
宛,jyn1
岳,ngok9
背,bui3
柯,o1
淀,din6
涩,saap8
涩,sap7
涩,gip8
涩,sik7
焉,jin1
焉,jin4
瑚,wu4
瞥,pit8
碾,nin5
稣,sou1
蔗,dze3
谜,mai4
谜,mai6
谴,hin2
钜,goey6
仲,dzung6
幸,hang6
匾,bin2
卿,hing1
哺,bou6
坯,pui1
妒,dou3
婿,sai3
庶,sy3
怡,ji4
